,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
0,False,,,0,[],,519690,tt1574526,en,Anaconda Targets,"""Anaconda Targets , a documentation tape of aerial bombings by the American military in Afghanistan, depicts the devastating effect of smart bombs. Not often featured in media reports, the soldiers' voices form the soundtrack that accompanies these chilling images. The document has been appropriated by filmmaker Dominic Angerame as a critique of his government's military aggression."" - Susan Oxtoby",0.6,,[],"[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2004-09-25,0,11,[],Released,,Anaconda Targets,False,0.0,0
1,False,/7ELIOvgJhhGDenPhdwRqi8RGIuL.jpg,"{'id': 105995, 'name': 'Anaconda Collection', 'poster_path': '/sENQAlXOhOb2QmfpFl2w34W9ODP.jpg', 'backdrop_path': '/uR7j2TEwJVCMz7CDJgNPuhty4J9.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,14863,tt1137996,en,Anaconda 3: Offspring,"Cancer-terminal tycoon Peter Murdoch's secret Wexel Hall Pharmaceuticals lab has developed a blood orchid extract cure. To examine why it works optimally in snakes, they also bread a super-anaconda strain. But the original pair escapes, leaving a bloody trail of corpses. Murdoch runs, instructing his staff to clean up. They keep failing and being eaten like unsuspecting locals, some alive, even after enlisting ruthless big game hunter Hammett. The fast-growing pregnant monster sheds its skin, thus disabling the only tracking device.",17.669,/ce2z5H6gS6mc54kpnFj9G0xjH4G.jpg,"[{'id': 1370, 'logo_path': '/uch218gB4XWNz3JNhlc65A5Q207.png', 'name': 'Castel Film', 'origin_country': 'RO'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}, {'iso_3166_1': 'RO', 'name': 'Romania'}]",2008-01-01,0,91,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,They Can Taste Your Fear,Anaconda 3: Offspring,False,4.8,169
2,False,/vF8NCvR7YWUsZ4eSPM6tK8tvbwG.jpg,"{'id': 105995, 'name': 'Anaconda Collection', 'poster_path': '/sENQAlXOhOb2QmfpFl2w34W9ODP.jpg', 'backdrop_path': '/uR7j2TEwJVCMz7CDJgNPuhty4J9.jpg'}",45000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]",,9360,tt0118615,en,Anaconda,"A ""National Geographic"" film crew is taken hostage by an insane hunter, who takes them along on his quest to capture the world's largest - and deadliest - snake.",25.69,/wtuBvGph8BnqgfFzIDMaVg5F8GB.jpg,"[{'id': 55532, 'logo_path': None, 'name': 'St. Tropez Films', 'origin_country': ''}, {'id': 55533, 'logo_path': None, 'name': 'Cinema Line Film Corporation', 'origin_country': ''}, {'id': 11134, 'logo_path': None, 'name': 'Iguana Producciones', 'origin_country': ''}, {'id': 3803, 'logo_path': None, 'name': 'Middle Fork Productions', 'origin_country': ''}, {'id': 16387, 'logo_path': None, 'name': 'Skylight Cinema Foto Art', 'origin_country': 'BR'}, {'id': 5, 'logo_path': '/71BqEFAF4V3qjjMPCpLuyJFB9A.png', 'name': 'Columbia Pictures', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",1997-04-11,136000000,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,When You Can't Breathe You Can't Scream.,Anaconda,False,5.0,1594
3,False,,,0,[],,118046,tt1845776,en,Anaconda: Queen of the Serpents,"Anaconda - the mere mention of its name brings images of an awesome and terrifying killer snake!  For Dr. Jesus Rivas and his wife, Dr Sarah Corey, anacondas represent a challenge as they try to unravel the mysteries surrounding these massive reptiles.  Like most snakes, anacondas have suffered greatly from exaggeration and scary folklore.  Pound for pound, the South American anaconda is the world’s largest snake.  But its reputation as a killer is wrapped in myth and legend.",0.6,,[],[],2010-01-01,0,60,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Anaconda: Queen of the Serpents,False,5.3,3
4,False,,,0,"[{'id': 12, 'name': 'Adventure'}]",,286885,tt0495589,th,ดงพญาไฟ,"Reports of a sighting of an extraordinary elephant lead the members of the Asian Elephant Conservation group aided by foreign researchers on a dangerous journey deep in the jungle. It takes them on a dangerous route used for smuggling amphetamine. Heading into the jungle, the team starts encountering tragedy after tragedy. Will they find this extraordinary elephant?",0.925,,"[{'id': 30043, 'logo_path': None, 'name': 'CM Film Co.', 'origin_country': ''}]","[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",2002-07-24,0,102,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,,The Trek,False,5.0,1
5,False,,,0,"[{'id': 27, 'name': 'Horror'}]",,297768,,en,ธิดา งูเก็งกอง,Anaconda Queen,0.6,,[],"[{'iso_3166_1': 'TH', 'name': 'Thailand'}]",1988-03-04,0,73,"[{'iso_639_1': 'th', 'name': 'ภาษาไทย'}]",Released,,Princess of Anaconda,False,0.0,0
6,False,/ksPuX9XSNWwhIfYG0CyjSqA2wj7.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,614698,tt10577906,es,El Sendero de la Anaconda,"In the most remote areas of the Amazon rainforest, a writer and his anthropologist friend find communities that have resisted change for centuries.",2.808,/mwv9gGtBJVX8KTYDK79UEOz1gi2.jpg,[],"[{'iso_3166_1': 'CO', 'name': 'Colombia'}]",2019-06-29,0,74,"[{'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,,El Sendero de la Anaconda,False,6.5,4
7,False,,,0,[],,668591,tt7704056,en,Anacondas - Mystery Solved,Anacondas: Mystery Solved,1.355,,[],[],2017-10-29,0,118,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Anacondas - Mystery Solved,False,0.0,0
8,False,/wUXZ8KjLreDJPW3RCZTxrgJkb3i.jpg,"{'id': 97768, 'name': 'Lake Placid Collection', 'poster_path': '/x3f6Wcshd4E5tyaFZ1rBglusvAl.jpg', 'backdrop_path': '/vu2GcWvUcaAf6BHafjMLFp6haSG.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 27, 'name': 'Horror'}]",,336560,tt4497416,en,Lake Placid vs. Anaconda,A giant alligator goes head to head with a giant Anaconda. The town sheriff must find a way to destroy the two monsters before they kill the whole town.,15.985,/qF3TYXksv1O0zX3SIS12kNmJLmN.jpg,"[{'id': 6677, 'logo_path': '/iYfrkobwDhTOFJ4AXYPSLIEeaAT.png', 'name': 'Syfy', 'origin_country': 'US'}, {'id': 12029, 'logo_path': None, 'name': 'Curmudgeon Films', 'origin_country': ''}, {'id': 51569, 'logo_path': None, 'name': 'UFO Films', 'origin_country': ''}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-04-25,0,92,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,,Lake Placid vs. Anaconda,False,5.3,120
9,False,,,0,"[{'id': 18, 'name': 'Drama'}]",,701743,,en,Anacondas,"Inspired by the chronicle ""Anacondas in the Park"" by Pedro Lemebel. A experiment with time, image and montage to formulate an observational narrative in a park in Guadalajara, Mexico, when the night falls it comes back to life and the bodies meet like snakes. A dialogue with a common past of criminalization and homosexual repression in Latin America.",2.018,/zBqUapVFQJ9VkeL5WIIq2KZlY4S.jpg,[],[],2019-05-01,0,5,[],Released,,Anacondas,False,0.0,0
