Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,The Eight Hundred,"$460,923,228","$372,755",<0.1%,"$460,550,473",99.9%
2,Bad Boys for Life,"$426,505,244","$206,305,244",48.4%,"$220,200,000",51.6%
3,Tenet,"$350,800,000","$55,100,000",15.7%,"$295,700,000",84.3%
4,Sonic the Hedgehog,"$308,439,407","$146,066,470",47.4%,"$162,372,937",52.6%
5,Dolittle,"$245,229,574","$77,047,065",31.4%,"$168,182,509",68.6%
6,Legend of Deification,"$240,577,111","$214,336",<0.1%,"$240,362,775",99.9%
7,Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn,"$201,858,461","$84,158,461",41.7%,"$117,700,000",58.3%
8,Onward,"$147,073,871","$61,555,145",41.9%,"$85,518,726",58.1%
9,The Invisible Man,"$130,560,179","$64,914,050",49.7%,"$65,646,129",50.3%
10,The Call of the Wild,"$107,604,626","$62,342,368",57.9%,"$45,262,258",42.1%
11,Mulan,"$68,450,236",-,-,"$68,450,236",100%
12,Fantasy Island,"$48,760,507","$27,309,289",56%,"$21,451,218",44%
13,After We Collided,"$47,947,778","$2,343,847",4.9%,"$45,603,931",95.1%
14,The New Mutants,"$46,598,346","$23,585,119",50.6%,"$23,013,227",49.4%
15,Unhinged,"$41,462,535","$20,762,535",50.1%,"$20,700,000",49.9%
16,Underwater,"$40,882,928","$17,291,078",42.3%,"$23,591,850",57.7%
17,Train to Busan Presents: Peninsula,"$37,769,805","$1,224,525",3.2%,"$36,545,280",96.8%
18,Greenland,"$36,200,000",-,-,"$36,200,000",100%
19,The Man Standing Next,"$34,664,900","$113,527",0.3%,"$34,551,373",99.7%
20,Trolls World Tour,"$33,502,413",-,-,"$33,502,413",100%
21,Bloodshot,"$33,482,340","$12,561,824",37.5%,"$20,920,516",62.5%
22,Like a Boss,"$29,753,143","$22,169,514",74.5%,"$7,583,629",25.5%
23,Leap,"$25,676,860","$83,074",0.3%,"$25,593,786",99.7%
24,Emma.,"$25,644,560","$10,055,355",39.2%,"$15,589,205",60.8%
25,Scoob!,"$24,600,000",-,-,"$24,600,000",100%
26,Gretel & Hansel,"$22,051,055","$15,347,654",69.6%,"$6,703,401",30.4%
27,Honest Thief,"$21,015,208","$11,177,613",53.2%,"$9,837,595",46.8%
28,The Photograph,"$20,690,779","$20,578,185",99.5%,"$112,594",0.5%
29,The War with Grandpa,"$20,373,323","$13,409,093",65.8%,"$6,964,230",34.2%
30,Brahms: The Boy II,"$20,311,536","$12,611,536",62.1%,"$7,700,000",37.9%
31,The Turning,"$18,714,343","$15,472,775",82.7%,"$3,241,568",17.3%
32,Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,"$18,516,384",-,-,"$18,516,384",100%
33,Digimon Adventure: Last Evolution Kizuna,"$17,040,162",-,-,"$17,040,162",100%
34,Baaghi 3,"$16,726,510","$721,439",4.3%,"$16,005,071",95.7%
35,I Still Believe,"$15,756,972","$9,868,521",62.6%,"$5,888,451",37.4%
36,The Way Back,"$14,690,514","$13,590,514",92.5%,"$1,100,000",7.5%
37,The Personal History of David Copperfield,"$14,004,203","$1,876,298",13.4%,"$12,127,905",86.6%
38,The Hunt,"$10,891,670","$5,812,500",53.4%,"$5,079,170",46.6%
39,Impractical Jokers: The Movie,"$10,691,091","$10,691,091",100%,-,-
40,The Witches,"$10,400,000",-,-,"$10,400,000",100%
41,My Spy,"$10,200,000",-,-,"$10,200,000",100%
42,Inception 10th Anniversary re-release,"$9,100,000",-,-,"$9,100,000",100%
43,Downhill,"$8,899,195","$8,287,061",93.1%,"$612,134",6.9%
44,Malang,"$8,399,474",-,-,"$8,399,474",100%
45,Spirited Away Studio Ghibli Fest 2020,"$7,724,266",-,-,"$7,724,266",100%
46,Princess Mononoke Studio Ghibli Fest 2020,"$7,673,132",-,-,"$7,673,132",100%
47,Come Play,"$7,084,905","$5,724,905",80.8%,"$1,360,000",19.2%
48,Antebellum,"$6,852,361",-,-,"$6,852,361",100%
49,Chhapaak,"$6,532,100","$604,334",9.3%,"$5,927,766",90.7%
50,My Boyfriend's Meds,"$6,292,780","$2,971,116",47.2%,"$3,321,664",52.8%
51,Bill & Ted Face the Music,"$6,098,442","$3,439,660",56.4%,"$2,658,782",43.6%
52,The Rhythm Section,"$5,989,583","$5,437,971",90.8%,"$551,612",9.2%
53,Hocus Pocus 2020 Re-release,"$5,432,740","$4,828,000",88.9%,"$604,740",11.1%
54,The Real Exorcist,"$5,035,830",-,-,"$5,035,830",100%
55,Panga,"$4,886,124","$582,720",11.9%,"$4,303,404",88.1%
56,The SpongeBob Movie: Sponge on the Run,"$4,802,698","$4,802,698",100%,-,-
57,Gladiator 20th Anniversary,"$4,777,216",-,-,"$4,777,216",100%
58,Twiceborn,"$4,762,464","$10,974",0.2%,"$4,751,490",99.8%
59,The Broken Hearts Gallery,"$4,729,277","$4,047,231",85.6%,"$682,046",14.4%
60,The Wretched,"$4,301,932","$1,814,193",42.2%,"$2,487,739",57.8%
61,Military Wives,"$4,144,121",-,-,"$4,144,121",100%
62,Infidel,"$4,046,725","$4,046,725",100%,-,-
63,Let Him Go,"$4,000,470","$4,000,470",100%,-,-
64,No Escape,"$3,949,931","$167,962",4.3%,"$3,781,969",95.7%
65,100% Wolf,"$3,667,324","$337,253",9.2%,"$3,330,071",90.8%
66,The Last Full Measure,"$3,364,426","$2,949,212",87.7%,"$415,214",12.3%
67,2020 Oscar Nominated Short Films,"$3,306,611","$3,306,611",100%,-,-
68,Samsam,"$3,272,590","$53,273",1.6%,"$3,219,317",98.4%
69,The Rental,"$3,215,276","$1,637,548",50.9%,"$1,577,728",49.1%
70,The Empty Man,"$3,209,947","$2,741,827",85.4%,"$468,120",14.6%
71,Ava,"$3,171,155","$497,747",15.7%,"$2,673,408",84.3%
72,The Lodge,"$3,155,858","$2,138,907",67.8%,"$1,016,951",32.2%
73,The Secret: Dare to Dream,"$3,120,151",-,-,"$3,120,151",100%
74,Star Wars: Episode V - The Empire Strikes Back 2020 Re-release,"$3,095,382","$2,482,000",80.2%,"$613,382",19.8%
75,Made in Italy,"$3,041,315","$101,339",3.3%,"$2,939,976",96.7%
76,Words on Bathroom Walls,"$2,539,522","$2,539,522",100%,-,-
77,The Nightmare Before Christmas 2020 Re-release,"$2,342,526","$2,286,000",97.6%,"$56,526",2.4%
78,The King of Staten Island,"$2,161,478",-,-,"$2,161,478",100%
79,Relic,"$2,158,255","$1,047,083",48.5%,"$1,111,172",51.5%
80,The High Note,"$2,148,681",-,-,"$2,148,681",100%
81,The Outpost,"$2,011,158",-,-,"$2,011,158",100%
82,Jurassic Park 2020 Re-release,"$1,899,492","$1,386,600",73%,"$512,892",27%
83,Vanguard,"$1,552,038",-,-,"$1,552,038",100%
84,Greed,"$1,460,431","$355,308",24.3%,"$1,105,123",75.7%
85,Sarileru Neekevvaru,"$1,366,335","$821,000",60.1%,"$545,335",39.9%
86,National Theater Live: Cyrano de Bergerac 2020 Re-release,"$1,363,212","$198,352",14.6%,"$1,164,860",85.4%
87,The Assistant,"$1,338,881","$1,100,313",82.2%,"$238,568",17.8%
88,2 Hearts,"$1,297,206","$1,297,206",100%,-,-
89,The Goonies 2020 Re-release,"$1,236,438","$825,000",66.7%,"$411,438",33.3%
90,The Perfect Candidate,"$1,231,500",-,-,"$1,231,500",100%
91,Saint Maud,"$1,224,154",-,-,"$1,224,154",100%
92,Savage,"$1,128,925",-,-,"$1,128,925",100%
93,Kajillionaire,"$1,100,341","$531,430",48.3%,"$568,911",51.7%
94,Misbehaviour,"$1,085,288",-,-,"$1,085,288",100%
95,Chal Mera Putt 2,"$1,070,997","$445,000",41.6%,"$625,997",58.4%
96,Becky,"$1,045,873","$1,003,700",96%,"$42,173",4%
97,Color Out of Space,"$1,023,510","$765,561",74.8%,"$257,949",25.2%
98,Hope Gap,"$1,015,255","$104,732",10.3%,"$910,523",89.7%
99,The Tax Collector,"$942,666","$942,666",100%,-,-
100,The Addams Family 2020 Re-release,"$937,805","$673,008",71.8%,"$264,797",28.2%
101,The Vigil,"$935,484",-,-,"$935,484",100%
102,Love and Monsters,"$927,825","$927,825",100%,-,-
103,Riverdance 25th Anniversary Show,"$920,607","$81,879",8.9%,"$838,728",91.1%
104,Mafia Inc,"$889,863","$889,863",100%,-,-
105,Cut Throat City,"$864,928","$855,894",99%,"$9,034",1%
106,The Nest,"$806,126","$137,886",17.1%,"$668,240",82.9%
107,Babyteeth,"$804,068","$4,507",0.6%,"$799,561",99.4%
108,Shortcut,"$793,084","$793,084",100%,-,-
109,Jaws 2020 Re-release,"$758,367","$758,300",100%,$67,<0.1%
